47	57.5
47.5	51.5
50	52.5
46.5	57.5
42.5	53.5
49.5	55.5
44.5	51.5
50	54.5
41.5	53.5
42.5	56.5
42.5	48.5
50	57.5
45	52.5
46.5	49
44	54.5
43.5	56
40.5	51
47	53
42.5	57.5
44	54
46.5	52.5
49.5	50
50	55.5
42.5	55
49	51.5
45	50.5
50.5	56
47	52.5
41	51
40	47.5
42.5	46
39	46
35	51.5
39	49.5
37	45
34.5	49.5
35.5	49.5
34	51
35.5	52.5
35.5	48
41	46.5
42.5	52
39.5	47
33.5	49.5
39	44.5
38.5	46
35.5	51
33.5	45.5
41.5	47.5
43	46.5
33	47.5
38	51
36	44.5
30.5	4
36	6
28.5	9
35	3
33.5	6.5
32.5	3
36	8
32.5	3.5
31.5	3.5
35.5	2.5
34.5	7
33	10
33	4.5
34.5	8.5
31	9
33.5	3
28	9
28.5	4.5
33	9.5
31.5	8
34	7
27.5	9.5
34.5	6.5
65.5	15
62	14.5
59	15
66	9.5
67	8
67	9
72	12.5
64	7
66	9.5
68.5	7
68	14.5
65.5	10.5
61.5	14.5
65	11.5
64	14
59	13
68.5	16
58.5	8.5
63.5	12
67	13.5
68	16
67.5	10.5
64	8
60	23
56.5	25.5
55	22.5
60	27
58.5	27.5
56.5	21.5
56	22
58.5	20.5
56	22.5
55	20.5
54.5	22
51.5	21.5
60.5	19.5
58.5	27.5
60	24.5
57	19.5
60	28
53.5	27.5
58.5	4.5
64.5	4
61	5.5
63	7
61	9
66	9.5
58.5	8.5
65.5	11
59	9.5
59	10
57.5	9
60	5.5
59	7.5
58.5	3
63.5	5.5
57	9.5
60.5	3
59	6.5
65	6
57.5	6
61.5	3
61.5	7.5
60	5
41	16.5
33	15
40	14
36	14.5
35.5	12
42	13
36.5	13
36.5	14.5
40	12
35	15
36.5	9
38.5	9.5
39	11.5
39.5	14.5
38	7.5
38.5	12.5
33.5	12
41.5	14.5
37	12.5
37.5	15.5
37	12
39.5	8
59.5	13
57	16.5
55	16.5
57	14
59.5	17
60	16
59	15.5
51	12.5
58	17.5
60	16
57.5	15.5
56	16.5
58.5	14.5
58	13
55	16.5
56	14
63	55
65.5	57
63.5	52
60.5	50.5
63.5	52.5
63	51.5
65.5	55.5
60	55
60.5	58.5
59.5	50.5
60	52.5
69	54.5
69	53
65.5	55.5
64	54
69	59
63.5	54.5
69	52
66.5	56.5
65.5	54.5
67.5	52.5
66.5	56.5
64.5	55.5
64.5	53.5
65	52
67.5	52
61.5	52.5
68	62.5
71.5	63
69.5	67
71.5	61
67.5	65
73	58.5
69.5	65.5
73	62
71	61.5
67.5	65
67	64.5
70	61.5
71	67.5
71	66.5
70.5	63.5
63.5	56
65	61.5
71.5	56
64	58
70.5	57
72	62.5
71.5	56.5
69	61
66	55
70.5	58.5
37.5	95.5
45.5	97
37.5	98.5
41.5	96
42.5	97.5
46	98.5
44	98.5
42	94.5
40	99
45.5	100
43	96
39	94
39.5	94.5
38.5	99
40	98.5
40	98.5
45	94
46	96
42.5	95.5
42	100
37	94.5
40	92.5
39.5	95.5
39	98.5
40.5	99.5
45.5	99
42	98.5
44	95.5
1.5	4.5
0.5	5.5
5.5	5
1.5	7
3	1
8	6
7.5	9
7	7.5
2.5	8
8.5	2
1.5	0.5
0	0
8	2.5
4	3
7.5	4
2	0
2.5	4
2	0.5
3	8
2.5	3.5
1	4.5
6.5	1
4	7
8.5	3.5
0.5	0.5
4.5	5.5
7	6.5
1.5	1.5
88	35.5
90.5	37
92.5	41.5
92	42
87	36
90.5	43.5
88.5	43
89.5	43
86.5	42.5
87	34.5
86	42.5
92.5	42
85.5	40
89.5	36.5
87	36.5
89	42.5
86.5	40.5
88	40.5
90.5	38.5
89.5	35
86.5	36
90.5	37
92.5	36.5
79.5	96
74.5	91
80	92
75	92.5
83.5	98
75.5	96
75.5	92.5
76.5	96.5
79	97.5
76.5	95
80.5	99
81	97.5
77.5	98.5
79	98
83	99.5
82.5	98
76.5	91.5
84	97
86	94
81	95
84	91.5
85.5	97
81.5	92
79.5	94.5
85.5	94.5
77	100
77	95
82.5	97
99	6
97	10.5
99	6.5
96	10.5
100	6.5
94	3.5
95	8.5
97	12
91	10
97.5	8.5
100	4
92.5	5.5
96	11
98.5	5.5
99	11.5
96	10.5
93	4.5
98.5	9.5
97	12
96.5	7.5
96	5
97.5	5
98	5.5
100	7.5
98	5
100	8.5
98	6.5
97	11
59	95
60	91.5
63	94
64.5	91.5
65.5	96
65.5	94
65	100
60.5	91.5
59	93
58	98.5
61	91
62	94
65.5	94.5
60	97.5
64.5	100
56	99
62	100
63.5	92.5
65	96
64.5	93
60	97
61.5	92.5
62	97
62	98
64	98.5
59.5	95.5
58	99
60.5	91.5
46	74.5
52	75
52.5	78
48	71.5
47	76.5
47	78.5
51.5	77
50.5	71
54.5	70.5
53	75
54	69.5
51.5	74
52	72
50.5	70
47.5	73
49.5	72.5
51.5	69.5
52.5	70
53.5	71.5
49.5	71
53.5	72.5
49	71
49.5	70.5
48.5	5.5
43.5	6.5
45.5	5
42	7.5
52.5	8.5
44	9
48	9
44.5	7.5
43	11
44.5	10.5
47.5	5.5
46.5	9.5
45.5	6.5
52	6
47	5
52	8
48	9.5
46	7
49.5	7.5
50	3.5
44.5	9
42	9.5
46	4.5
42	9
54.5	22.5
49.5	24
54	27
50	20
49	25.5
48	25
48.5	21.5
50	23.5
47.5	21.5
56.5	17.5
49.5	19.5
52.5	23
47	22.5
49	25.5
55.5	21.5
50.5	23
50.5	25
